seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,river_logreg,650,197,,63.2809,2.087,4.9154,0.73,0.0
0,river_logreg,700,205,,63.2809,2.239,5.1239,0.8375,0.0
0,river_logreg,750,210,,63.2809,2.3881,5.2464,0.9175,0.0
0,river_logreg,800,216,,63.2809,2.5581,5.4475,0.8475,0.0
0,river_logreg,850,218,,63.2809,2.7036,5.4945,0.885,0.0
0,river_logreg,900,219,,63.2809,2.8327,5.5165,0.935,0.0
0,river_logreg,950,221,,63.2809,2.9597,5.5585,0.9275,0.0
0,river_logreg,1000,224,,63.2809,3.0847,5.6226,0.8875,0.0
0,river_logreg,1050,230,,63.2809,3.2538,5.8186,0.92,0.0
0,river_logreg,1100,235,,63.2809,3.4313,5.9607,0.9475,0.0
0,river_logreg,1150,238,,63.2809,3.5579,6.0247,0.9075,0.0
0,river_logreg,1195,245,,63.2809,3.7074,6.2122,0.7175,0.0
0,bounded_substrate_reservoir_100,0,0,100,0.0115,0.0,0.0,0.0,0.51
0,bounded_substrate_reservoir_100,50,50,100,0.0115,0.0045,0.0,0.09,0.5075
0,bounded_substrate_reservoir_100,100,94,100,0.0115,0.0085,0.0,0.175,0.5075
0,bounded_substrate_reservoir_100,150,134,100,0.0115,0.012,0.0,0.2125,0.5075
0,bounded_substrate_reservoir_100,200,171,100,0.0115,0.0155,0.0,0.2125,0.5075
0,bounded_substrate_reservoir_100,250,209,100,0.0115,0.019,0.0,0.2125,0.5075
0,bounded_substrate_reservoir_100,300,248,100,0.0115,0.0225,0.0,0.2825,0.5025
0,bounded_substrate_reservoir_100,350,283,100,0.0115,0.027,0.0005,0.2825,0.5025
0,bounded_substrate_reservoir_100,400,319,100,0.0115,0.0305,0.001,0.2825,0.5025
0,bounded_substrate_reservoir_100,450,355,100,0.0115,0.034,0.0015,0.3725,0.4875
0,bounded_substrate_reservoir_100,500,386,100,0.0115,0.0385,0.0015,0.4425,0.4825
0,bounded_substrate_reservoir_100,550,407,100,0.0115,0.0415,0.0015,0.4425,0.4825
0,bounded_substrate_reservoir_100,600,431,100,0.0115,0.045,0.0015,0.4425,0.4825
0,bounded_substrate_reservoir_100,650,459,100,0.0115,0.0485,0.002,0.4425,0.4825
0,bounded_substrate_reservoir_100,700,478,100,0.0115,0.0515,0.002,0.4425,0.4825
0,bounded_substrate_reservoir_100,750,505,100,0.0115,0.0545,0.0025,0.4425,0.4825
0,bounded_substrate_reservoir_100,800,532,100,0.0115,0.058,0.0025,0.4425,0.4825
0,bounded_substrate_reservoir_100,850,548,100,0.0115,0.06,0.0025,0.535,0.4825
