dataset,policy,seed,system,step,corrections,acc_novel,acc_original,pred_secs,correct_secs
banking77,oracle,0,online_linear,0,0,0.0,0.9625,0.0,0.0
banking77,oracle,0,online_linear,50,50,0.0,0.9625,0.003,0.0075
banking77,oracle,0,online_linear,100,100,0.0,0.9625,0.003,0.0195
banking77,oracle,0,online_linear,150,150,0.0,0.9625,0.0055,0.029
banking77,oracle,0,online_linear,200,200,0.0,0.9625,0.007,0.0385
banking77,oracle,0,online_linear,250,250,0.0,0.96,0.008,0.048
banking77,oracle,0,online_linear,300,300,0.0,0.9575,0.01,0.057
banking77,oracle,0,online_linear,350,350,0.0,0.9575,0.0115,0.0655
banking77,oracle,0,online_linear,400,400,0.0,0.96,0.013,0.0735
banking77,oracle,0,online_linear,450,450,0.0,0.96,0.0135,0.084
banking77,oracle,0,online_linear,500,500,0.0,0.9575,0.0145,0.0925
banking77,oracle,0,online_linear,550,549,0.0,0.9575,0.0165,0.101
banking77,oracle,0,online_linear,600,599,0.0075,0.955,0.017,0.1106
banking77,oracle,0,online_linear,650,649,0.02,0.9575,0.0185,0.1211
banking77,oracle,0,online_linear,700,696,0.0375,0.9525,0.0195,0.1311
banking77,oracle,0,online_linear,750,743,0.0675,0.9525,0.022,0.1396
banking77,oracle,0,online_linear,800,788,0.09,0.9525,0.0235,0.1486
banking77,oracle,0,online_linear,850,835,0.1075,0.95,0.0245,0.1571
banking77,oracle,0,online_linear,900,877,0.15,0.95,0.0265,0.1651
banking77,oracle,0,online_linear,950,919,0.21,0.95,0.0275,0.1746
banking77,oracle,0,online_linear,1000,953,0.2625,0.9475,0.0295,0.1801
banking77,oracle,0,online_linear,1050,980,0.2825,0.9475,0.031,0.1851
banking77,oracle,0,online_linear,1100,1012,0.3325,0.945,0.033,0.1916
banking77,oracle,0,online_linear,1150,1040,0.375,0.945,0.0335,0.1956
banking77,oracle,0,online_linear,1195,1073,0.4225,0.945,0.0355,0.2016
banking77,oracle,1,substrate,0,0,0.0,0.945,0.0,0.0
banking77,oracle,1,substrate,50,33,0.4925,0.9425,0.0235,0.015
banking77,oracle,1,substrate,100,59,0.6425,0.9425,0.047,0.0265
banking77,oracle,1,substrate,150,79,0.7525,0.9425,0.07,0.037
banking77,oracle,1,substrate,200,88,0.7825,0.9425,0.094,0.0415
banking77,oracle,1,substrate,250,99,0.8375,0.9425,0.1175,0.047
banking77,oracle,1,substrate,300,112,0.855,0.9425,0.1395,0.055
banking77,oracle,1,substrate,350,120,0.8625,0.9425,0.1625,0.059
banking77,oracle,1,substrate,400,124,0.8675,0.9425,0.1865,0.0605
banking77,oracle,1,substrate,450,129,0.875,0.9425,0.2085,0.0635
banking77,oracle,1,substrate,500,138,0.88,0.9425,0.2306,0.068
banking77,oracle,1,substrate,550,143,0.885,0.9425,0.2516,0.0705
banking77,oracle,1,substrate,600,150,0.8875,0.9425,0.2731,0.073
banking77,oracle,1,substrate,650,155,0.8925,0.9425,0.2961,0.0765
banking77,oracle,1,substrate,700,163,0.8925,0.9425,0.3176,0.0805
banking77,oracle,1,substrate,750,166,0.8925,0.9425,0.3391,0.082
banking77,oracle,1,substrate,800,169,0.8925,0.9425,0.3606,0.0835
banking77,oracle,1,substrate,850,183,0.9125,0.9425,0.3806,0.0896
banking77,oracle,1,substrate,900,187,0.9125,0.9425,0.4021,0.0916
banking77,oracle,1,substrate,950,193,0.915,0.9425,0.4251,0.0946
banking77,oracle,1,substrate,1000,196,0.9225,0.9425,0.4476,0.0966
banking77,oracle,1,substrate,1050,202,0.9225,0.9425,0.4716,0.0996
banking77,oracle,1,substrate,1100,205,0.925,0.9425,0.4931,0.1006
banking77,oracle,1,substrate,1150,215,0.9275,0.9425,0.5152,0.1061
banking77,oracle,1,substrate,1200,218,0.9275,0.9425,0.5377,0.1076
banking77,oracle,1,substrate,1248,222,0.9275,0.9425,0.5587,0.1096
banking77,oracle,1,static_knn,0,0,0.0,0.945,0.0,0.0
banking77,oracle,1,static_knn,50,50,0.0,0.945,0.018,0.0
banking77,oracle,1,static_knn,100,100,0.0,0.945,0.0345,0.0
banking77,oracle,1,static_knn,150,150,0.0,0.945,0.0505,0.0
banking77,oracle,1,static_knn,200,200,0.0,0.945,0.0685,0.0
banking77,oracle,1,static_knn,250,250,0.0,0.945,0.0875,0.0
banking77,oracle,1,static_knn,300,300,0.0,0.945,0.1045,0.0
banking77,oracle,1,static_knn,350,350,0.0,0.945,0.1235,0.0
banking77,oracle,1,static_knn,400,400,0.0,0.945,0.1425,0.0
banking77,oracle,1,static_knn,450,450,0.0,0.945,0.1626,0.0
banking77,oracle,1,static_knn,500,500,0.0,0.945,0.1821,0.0
banking77,oracle,1,static_knn,550,550,0.0,0.945,0.2016,0.0
banking77,oracle,1,static_knn,600,600,0.0,0.945,0.2206,0.0
banking77,oracle,1,static_knn,650,650,0.0,0.945,0.2386,0.0
banking77,oracle,1,static_knn,700,700,0.0,0.945,0.2576,0.0
banking77,oracle,1,static_knn,750,750,0.0,0.945,0.2751,0.0
banking77,oracle,1,static_knn,800,800,0.0,0.945,0.2931,0.0
banking77,oracle,1,static_knn,850,850,0.0,0.945,0.3126,0.0005
banking77,oracle,1,static_knn,900,900,0.0,0.945,0.3281,0.0005
banking77,oracle,1,static_knn,950,950,0.0,0.945,0.3456,0.0005
banking77,oracle,1,static_knn,1000,1000,0.0,0.945,0.3631,0.0005
banking77,oracle,1,static_knn,1050,1050,0.0,0.945,0.3801,0.0005
banking77,oracle,1,static_knn,1100,1100,0.0,0.945,0.3966,0.0005
banking77,oracle,1,static_knn,1150,1150,0.0,0.945,0.4146,0.0005
banking77,oracle,1,static_knn,1200,1200,0.0,0.945,0.4321,0.001
banking77,oracle,1,static_knn,1248,1248,0.0,0.945,0.4481,0.001
banking77,oracle,1,static_linear,0,0,0.0,0.9475,0.0,0.0
banking77,oracle,1,static_linear,50,50,0.0,0.9475,0.0005,0.0
banking77,oracle,1,static_linear,100,100,0.0,0.9475,0.0005,0.0
banking77,oracle,1,static_linear,150,150,0.0,0.9475,0.001,0.0
banking77,oracle,1,static_linear,200,200,0.0,0.9475,0.0015,0.0
banking77,oracle,1,static_linear,250,250,0.0,0.9475,0.002,0.0
banking77,oracle,1,static_linear,300,300,0.0,0.9475,0.003,0.0
banking77,oracle,1,static_linear,350,350,0.0,0.9475,0.004,0.0
banking77,oracle,1,static_linear,400,400,0.0,0.9475,0.005,0.0
banking77,oracle,1,static_linear,450,450,0.0,0.9475,0.006,0.0
banking77,oracle,1,static_linear,500,500,0.0,0.9475,0.007,0.0
banking77,oracle,1,static_linear,550,550,0.0,0.9475,0.0085,0.0
banking77,oracle,1,static_linear,600,600,0.0,0.9475,0.0095,0.0
banking77,oracle,1,static_linear,650,650,0.0,0.9475,0.0105,0.0
banking77,oracle,1,static_linear,700,700,0.0,0.9475,0.0115,0.0
banking77,oracle,1,static_linear,750,750,0.0,0.9475,0.0125,0.0
banking77,oracle,1,static_linear,800,800,0.0,0.9475,0.0135,0.0
banking77,oracle,1,static_linear,850,850,0.0,0.9475,0.0145,0.0
banking77,oracle,1,static_linear,900,900,0.0,0.9475,0.0155,0.0
banking77,oracle,1,static_linear,950,950,0.0,0.9475,0.017,0.0
banking77,oracle,1,static_linear,1000,1000,0.0,0.9475,0.018,0.0
banking77,oracle,1,static_linear,1050,1050,0.0,0.9475,0.019,0.0
banking77,oracle,1,static_linear,1100,1100,0.0,0.9475,0.02,0.0
banking77,oracle,1,static_linear,1150,1150,0.0,0.9475,0.0205,0.0
banking77,oracle,1,static_linear,1200,1200,0.0,0.9475,0.0215,0.0
banking77,oracle,1,static_linear,1248,1248,0.0,0.9475,0.0225,0.0
banking77,oracle,1,online_linear,0,0,0.0,0.9475,0.0,0.0
banking77,oracle,1,online_linear,50,50,0.0,0.95,0.0015,0.011
banking77,oracle,1,online_linear,100,100,0.0,0.9525,0.0025,0.0215
banking77,oracle,1,online_linear,150,150,0.0,0.95,0.0035,0.032
banking77,oracle,1,online_linear,200,200,0.0,0.95,0.005,0.04
banking77,oracle,1,online_linear,250,250,0.0,0.95,0.007,0.0475
banking77,oracle,1,online_linear,300,300,0.0,0.9475,0.0085,0.0595
banking77,oracle,1,online_linear,350,350,0.0,0.945,0.009,0.07
banking77,oracle,1,online_linear,400,400,0.0,0.945,0.0115,0.078
banking77,oracle,1,online_linear,450,450,0.0,0.9425,0.012,0.0885
banking77,oracle,1,online_linear,500,500,0.0,0.9425,0.014,0.0965
banking77,oracle,1,online_linear,550,550,0.0,0.9375,0.016,0.1055
banking77,oracle,1,online_linear,600,600,0.0075,0.9375,0.0175,0.114
banking77,oracle,1,online_linear,650,649,0.035,0.9325,0.019,0.1215
banking77,oracle,1,online_linear,700,696,0.06,0.93,0.02,0.1315
banking77,oracle,1,online_linear,750,740,0.08,0.9275,0.0215,0.1385
banking77,oracle,1,online_linear,800,787,0.11,0.9275,0.0235,0.146
banking77,oracle,1,online_linear,850,825,0.1725,0.9275,0.0245,0.1525
banking77,oracle,1,online_linear,900,868,0.2225,0.93,0.0265,0.1615
banking77,oracle,1,online_linear,950,904,0.2375,0.93,0.0275,0.1685
banking77,oracle,1,online_linear,1000,938,0.3075,0.93,0.0295,0.177
banking77,oracle,1,online_linear,1050,974,0.3525,0.925,0.0315,0.1825
banking77,oracle,1,online_linear,1100,1005,0.4175,0.925,0.032,0.1881
banking77,oracle,1,online_linear,1150,1033,0.475,0.92,0.033,0.1936
banking77,oracle,1,online_linear,1200,1050,0.4875,0.92,0.034,0.1966
banking77,oracle,1,online_linear,1248,1070,0.515,0.92,0.0355,0.1996
banking77,oracle,2,substrate,0,0,0.0,0.955,0.0,0.0
banking77,oracle,2,substrate,50,43,0.2675,0.9525,0.02,0.0205
banking77,oracle,2,substrate,100,74,0.48,0.9525,0.043,0.036
banking77,oracle,2,substrate,150,98,0.58,0.9525,0.0635,0.0485
banking77,oracle,2,substrate,200,118,0.6325,0.9525,0.083,0.0605
banking77,oracle,2,substrate,250,141,0.685,0.9525,0.1045,0.07
banking77,oracle,2,substrate,300,158,0.7175,0.9525,0.127,0.078
banking77,oracle,2,substrate,350,168,0.7425,0.9525,0.147,0.0835
banking77,oracle,2,substrate,400,182,0.76,0.9525,0.1685,0.091
banking77,oracle,2,substrate,450,192,0.7675,0.9525,0.192,0.0955
banking77,oracle,2,substrate,500,204,0.78,0.9525,0.213,0.1015
banking77,oracle,2,substrate,550,218,0.8025,0.9525,0.236,0.1085
banking77,oracle,2,substrate,600,228,0.805,0.9525,0.2561,0.1145
banking77,oracle,2,substrate,650,241,0.815,0.9525,0.2796,0.1205
banking77,oracle,2,substrate,700,253,0.825,0.9525,0.3008,0.1273
banking77,oracle,2,substrate,750,264,0.83,0.9525,0.3208,0.1338
banking77,oracle,2,substrate,800,274,0.8325,0.9525,0.3423,0.1393
banking77,oracle,2,substrate,850,286,0.8425,0.9525,0.3633,0.1458
banking77,oracle,2,substrate,900,293,0.845,0.9525,0.3833,0.1503
banking77,oracle,2,substrate,950,301,0.8525,0.9525,0.4043,0.1538
banking77,oracle,2,substrate,1000,305,0.8525,0.9525,0.4278,0.1558
banking77,oracle,2,substrate,1050,316,0.86,0.9525,0.4498,0.1588
banking77,oracle,2,substrate,1100,322,0.86,0.95,0.4714,0.1608
banking77,oracle,2,substrate,1150,330,0.865,0.95,0.4924,0.1643
banking77,oracle,2,substrate,1200,337,0.865,0.95,0.5134,0.1673
banking77,oracle,2,substrate,1250,341,0.8675,0.95,0.5344,0.1688
banking77,oracle,2,substrate,1300,347,0.8675,0.95,0.5554,0.1713
banking77,oracle,2,substrate,1350,354,0.8675,0.9475,0.5744,0.1748
banking77,oracle,2,substrate,1400,361,0.8725,0.9475,0.5964,0.1788
banking77,oracle,2,substrate,1450,364,0.88,0.945,0.6174,0.1808
banking77,oracle,2,substrate,1500,370,0.88,0.945,0.6414,0.1848
banking77,oracle,2,substrate,1517,371,0.88,0.945,0.6489,0.1853
banking77,oracle,2,static_knn,0,0,0.0,0.955,0.0,0.0
banking77,oracle,2,static_knn,50,50,0.0,0.955,0.0175,0.0
banking77,oracle,2,static_knn,100,100,0.0,0.955,0.034,0.0
banking77,oracle,2,static_knn,150,150,0.0,0.955,0.05,0.0
banking77,oracle,2,static_knn,200,200,0.0,0.955,0.0675,0.0
banking77,oracle,2,static_knn,250,250,0.0,0.955,0.084,0.0
banking77,oracle,2,static_knn,300,300,0.0,0.955,0.1,0.0
banking77,oracle,2,static_knn,350,350,0.0,0.955,0.1175,0.0
banking77,oracle,2,static_knn,400,400,0.0,0.955,0.1331,0.0
banking77,oracle,2,static_knn,450,450,0.0,0.955,0.1501,0.0
banking77,oracle,2,static_knn,500,500,0.0,0.955,0.1676,0.0
banking77,oracle,2,static_knn,550,550,0.0,0.955,0.1841,0.0
banking77,oracle,2,static_knn,600,600,0.0,0.955,0.2021,0.0005
banking77,oracle,2,static_knn,650,650,0.0,0.955,0.2171,0.0005
banking77,oracle,2,static_knn,700,700,0.0,0.955,0.2341,0.0005
banking77,oracle,2,static_knn,750,750,0.0,0.955,0.2516,0.0005
banking77,oracle,2,static_knn,800,800,0.0,0.955,0.2671,0.0005
banking77,oracle,2,static_knn,850,850,0.0,0.955,0.2846,0.0005
banking77,oracle,2,static_knn,900,900,0.0,0.955,0.3001,0.0005
banking77,oracle,2,static_knn,950,950,0.0,0.955,0.3171,0.0005
banking77,oracle,2,static_knn,1000,1000,0.0,0.955,0.3366,0.0005
banking77,oracle,2,static_knn,1050,1050,0.0,0.955,0.3531,0.0005
