system,n_seeds,final_novel_mean,final_novel_std,final_orig_mean,final_orig_std,to_10_mean,to_10_n_reached,to_30_mean,to_30_n_reached,to_50_mean,to_50_n_reached,to_70_mean,to_70_n_reached,to_90_mean,to_90_n_reached
substrate_k1,3,0.9066666666666666,0.03118047822311617,0.9383333333333334,0.009204467514322702,30.666666666666668,3,30.666666666666668,3,38.666666666666664,3,74.0,3,138.5,2
substrate_sumsim,3,0.8925000000000001,0.020412414523193124,0.9466666666666667,0.006236095644623242,39.0,3,49.0,3,73.66666666666667,3,123.66666666666667,3,198.0,1
substrate_count_only,3,0.9049999999999999,0.026536138880151074,0.9500000000000001,0.007359800721939854,35.0,3,35.0,3,66.0,3,103.0,3,174.0,2
substrate_no_recency,3,0.9049999999999999,0.026536138880151074,0.9500000000000001,0.007359800721939854,35.0,3,35.0,3,66.0,3,103.0,3,174.0,2
substrate (full),3,0.9049999999999999,0.026536138880151074,0.9500000000000001,0.007359800721939854,35.0,3,35.0,3,66.0,3,103.0,3,174.0,2
