system,n_seeds,mean_buffer_size,final_novel_mean,final_novel_std,final_orig_mean,final_orig_std,to_10_mean,to_10_n_reached,to_30_mean,to_30_n_reached,to_50_mean,to_50_n_reached,to_70_mean,to_70_n_reached
substrate,3,(N/A),0.9049999999999999,0.026536138880151074,0.9500000000000001,0.007359800721939854,35.0,3,35.0,3,66.0,3,103.0,3
online_linear,3,(N/A),0.5433333333333333,0.08872554436137443,0.9266666666666667,0.0100692049779955,853.6666666666666,3,1003.3333333333334,3,1103.5,2,,0
a_gem,3,(N/A),0.4808333333333333,0.07083823512451136,0.9358333333333334,0.0077280154129130574,870.3333333333334,3,1033.0,3,1267.0,1,,0
river_logreg,3,(N/A),0.8666666666666667,0.10630799071043008,0.0,0.0,45.0,3,101.33333333333333,3,123.0,3,134.33333333333334,3
bounded_substrate_reservoir_100,3,100.0,0.48333333333333334,0.14748352073668736,0.5091666666666667,0.018966344461235088,209.0,3,432.5,2,721.0,2,,0
bounded_substrate_fifo_100,3,100.0,0.9874999999999999,0.005400617248673204,0.014166666666666666,0.0011785113019775785,12.666666666666666,3,12.666666666666666,3,12.666666666666666,3,12.666666666666666,3
bounded_substrate_reservoir_500,3,500.0,0.7258333333333334,0.06868810344998297,0.8408333333333333,0.02044640691064218,61.0,3,216.33333333333334,3,418.6666666666667,3,521.5,2
bounded_substrate_fifo_500,3,500.0,0.9775,0.005400617248673239,0.06083333333333333,0.006561673228343179,18.333333333333332,3,18.333333333333332,3,18.333333333333332,3,18.333333333333332,3
bounded_substrate_reservoir_1000,3,1000.0,0.8066666666666666,0.016372402253657097,0.8966666666666666,0.0031180478223116407,45.0,3,119.66666666666667,3,175.0,3,351.0,3
bounded_substrate_fifo_1000,3,1000.0,0.9633333333333334,0.0031180478223116407,0.11583333333333333,0.00964653075232519,21.666666666666668,3,21.666666666666668,3,21.666666666666668,3,25.666666666666668,3
bounded_substrate_reservoir_5000,3,5000.0,0.8825,0.02857738033247039,0.9433333333333334,0.0031180478223116403,41.0,3,51.0,3,84.66666666666667,3,135.33333333333334,3
bounded_substrate_fifo_5000,3,5000.0,0.9216666666666667,0.019293061504650356,0.5516666666666666,0.012472191289246443,31.666666666666668,3,31.666666666666668,3,38.0,3,63.333333333333336,3
